"Month","precip.mm","et.mm","precip.acftmo","et.acftmo"
1,30.1826923076923,14.472,9407.33520088835,4510.62992125984
2,22.9245384615385,27.7089230769231,7145.11533414092,8636.31132646881
3,24.3189230769231,64.1907692307692,7579.71683827983,20006.9654754694
4,35.3791538461538,98.7729230769231,11026.9672420755,30785.523924894
5,31.8043076923077,142.561846153846,9912.7599434686,44433.6462749849
6,10.2580769230769,174.753230769231,3197.2352614577,54467.0502725621
7,9.68353846153846,183.415384615385,3018.16323440339,57166.8685645064
8,13.5670769230769,151.888615384615,4228.58368665455,47340.6117504543
9,26.5696923076923,98.2763076923077,8281.23611952352,30630.7389460933
10,23.6618461538462,50.5753846153846,7374.91924086412,15763.3252574197
11,18.2377692307692,20.0270769230769,5684.3440843933,6242.03513022411
12,41.2815384615385,11.712,12866.6212396527,3650.3937007874
